Date,Close,Return,Volume,EMA,MACD,RSI
2011-03-18,273.12115478515625,0.0007680357570597218,4233471,-0.003872989731880271,-7.200790791988652,29.323392949721715
2011-03-21,280.5650634765625,0.02689016625749803,3308524,-0.0018882699906300582,-6.688264901172147,41.21352933398152
2011-03-22,281.5088195800781,0.0033581243279901646,4324056,-0.0015497929378158503,-6.135208347104708,42.53351494637106
2011-03-23,282.3474426269531,0.00297460087418242,2536969,-0.00125789656284822,-5.565086321265767,43.74234470063215
2011-03-24,285.91229248046875,0.012546715517785433,3457944,-0.00036727642861379077,-4.7706142463677566,48.68389608313788
2011-03-25,285.1783447265625,-0.002570338612354341,2689498,-0.0005094094727260844,-4.152347179492949,47.753862189525776
2011-03-28,288.3236999511719,0.010969051605618648,1928813,0.0002311364032961564,-3.36971818120918,51.986992141472086
2011-03-29,293.04168701171875,0.016231068255581325,3205679,0.001263390071185522,-2.3417823266559594,57.54374205324787
2011-03-30,293.77557373046875,0.0025012457896533996,3205596,0.001343251730441514,-1.451188829693649,58.35120270537531
2011-03-31,291.573974609375,-0.007522375336216643,4611271,0.0007712757906571169,-0.9125187681757438,54.97345955622649
2011-04-01,294.4046630859375,0.009661480175081703,3205932,0.0013448373638457998,-0.25427483844964627,58.314632540641554
